"","DNAm","metric","estimate","std.error","p.value","r2","modality","brain_metric","pFDR","significance","FDR_significance","omic_type","model"
"1","AFM","global.cerebral.wm",-0.0576743657017546,0.0268648946717632,0.0321531972989658,0.521492712853926,"global","global white matter",0.642997624272016,"Yes","No","protein","Model 1 (n=709)"
"2","CHIT1","global.cerebral.wm",-0.0615498379403805,0.0276542389303635,0.0263557207394214,0.521729122350644,"global","global white matter",0.642997624272016,"Yes","No","protein","Model 1 (n=709)"
"3","FAP","global.cerebral.wm",-0.0554444760533573,0.0264514059811201,0.0364364847461571,0.521344991380546,"global","global white matter",0.642997624272016,"Yes","No","protein","Model 1 (n=709)"
"4","MIA","global.cerebral.wm",0.0541832069220297,0.0266936887122728,0.0427570589265392,0.521157240787815,"global","global white matter",0.642997624272016,"Yes","No","protein","Model 1 (n=709)"
"5","MMP12","global.cerebral.wm",-0.083910367726447,0.028000383711461,0.0028261532681394,0.524472680789593,"global","global white matter",0.262832253936965,"Yes","No","protein","Model 1 (n=709)"
"6","PIGR","global.cerebral.wm",-0.0612522951640532,0.0265197214761684,0.0211984601276767,0.521990026840846,"global","global white matter",0.642997624272016,"Yes","No","protein","Model 1 (n=709)"
"7","ADAMTS13","global.total.gm",0.0471833355481938,0.0215435862268344,0.0288466032021207,0.683010594213267,"global","global grey matter",0.183377992764035,"Yes","No","protein","Model 1 (n=709)"
"8","AFM","global.total.gm",-0.0430920912762297,0.0217518054249601,0.0479764836493001,0.682614540222685,"global","global grey matter",0.193991868668909,"Yes","No","protein","Model 1 (n=709)"
"9","B2M","global.total.gm",-0.0454127519214882,0.0221573907387048,0.0407834082890062,0.682739996923717,"global","global grey matter",0.189642848543879,"Yes","No","protein","Model 1 (n=709)"
"10","C4A.C4B","global.total.gm",-0.0583529040401542,0.0218087126254004,0.00763390585321165,0.684078674036831,"global","global grey matter",0.112364769633437,"Yes","No","protein","Model 1 (n=709)"
"11","C9","global.total.gm",-0.0489649377587212,0.0221070990786944,0.0270911850425392,0.683060067958521,"global","global grey matter",0.183377992764035,"Yes","No","protein","Model 1 (n=709)"
"12","CCL21","global.total.gm",-0.0578664288575068,0.0214624707740348,0.00718426795786391,0.684128281161293,"global","global grey matter",0.112364769633437,"Yes","No","protein","Model 1 (n=709)"
"13","CRP","global.total.gm",-0.0538598496790179,0.0215263156918105,0.0125767940282647,0.683673105912817,"global","global grey matter",0.146205230578577,"Yes","No","protein","Model 1 (n=709)"
"14","IGFBP4","global.total.gm",-0.0756204983924971,0.0221592231539288,0.000680824426088526,0.686087353606873,"global","global grey matter",0.0211055572087443,"Yes","Yes","protein","Model 1 (n=709)"
"15","LGALS4","global.total.gm",-0.0496051899261533,0.021470477604329,0.0211589336280449,0.683255912898089,"global","global grey matter",0.178889166128016,"Yes","No","protein","Model 1 (n=709)"
"16","LY9","global.total.gm",0.0440921424410298,0.0219678710495388,0.0451242485678054,0.682661757909338,"global","global grey matter",0.193991868668909,"Yes","No","protein","Model 1 (n=709)"
"17","LYZ","global.total.gm",-0.0524108726791381,0.0217326329287974,0.0161404065941999,0.683472265632817,"global","global grey matter",0.166784201473399,"Yes","No","protein","Model 1 (n=709)"
"18","MMP1","global.total.gm",-0.0454313883009008,0.0216689636404175,0.036389444941471,0.682828629184614,"global","global grey matter",0.1880121321976,"Yes","No","protein","Model 1 (n=709)"
"19","MMP12","global.total.gm",-0.0508766084855539,0.0227883291233269,0.0258953423591723,0.683095714499667,"global","global grey matter",0.183377992764035,"Yes","No","protein","Model 1 (n=709)"
"20","MPO","global.total.gm",-0.0442512002248966,0.0214392515922962,0.0393862749208402,0.682767049459771,"global","global grey matter",0.189642848543879,"Yes","No","protein","Model 1 (n=709)"
"21","NCAM1","global.total.gm",0.0464083238635519,0.0219149804770161,0.0345594567576548,0.682868895786658,"global","global grey matter",0.1880121321976,"Yes","No","protein","Model 1 (n=709)"
"22","NTRK3","global.total.gm",0.0470058951261778,0.0218515170269533,0.0318088745128476,0.682933805239336,"global","global grey matter",0.184889083105926,"Yes","No","protein","Model 1 (n=709)"
"23","PIGR","global.total.gm",-0.0858663982580291,0.0213579041194227,6.44755349188639e-05,0.688084197558356,"global","global grey matter",0.00299811237372717,"Yes","Yes","protein","Model 1 (n=709)"
"24","RARRES2","global.total.gm",-0.0685021513310487,0.0221065865784726,0.0020220690427802,0.68517553535805,"global","global grey matter",0.0470131052446398,"Yes","Yes","protein","Model 1 (n=709)"
"25","RETN","global.total.gm",-0.0468040775914793,0.0214676835068102,0.0295770956071024,0.682990921082656,"global","global grey matter",0.183377992764035,"Yes","No","protein","Model 1 (n=709)"
"26","SEMA3E","global.total.gm",0.0515195535662632,0.0220182332460946,0.0195735849599654,0.683317966046344,"global","global grey matter",0.178889166128016,"Yes","No","protein","Model 1 (n=709)"
"27","SERPIND1","global.total.gm",-0.0440088508739516,0.022016485863433,0.0460082421576832,0.682646795713744,"global","global grey matter",0.193991868668909,"Yes","No","protein","Model 1 (n=709)"
"28","STC1","global.total.gm",-0.0988948685086915,0.0218224432976862,6.88606466168226e-06,0.689993532810864,"global","global grey matter",0.00064040401353645,"Yes","Yes","protein","Model 1 (n=709)"
"29","TNFRSF1B","global.total.gm",-0.0573832576067129,0.0217296473130677,0.00845756330574255,0.68399508115469,"global","global grey matter",0.112364769633437,"Yes","No","protein","Model 1 (n=709)"
"30","ADAMTS13","global.wbv",0.0491334275339105,0.0229820920126891,0.0328735102426553,0.640762814448637,"global","total brain volume",0.454528373166874,"Yes","No","protein","Model 1 (n=709)"
"31","AFM","global.wbv",-0.047944678446275,0.0231946781778338,0.0390992148960752,0.640609554196762,"global","total brain volume",0.454528373166874,"Yes","No","protein","Model 1 (n=709)"
"32","C4A.C4B","global.wbv",-0.049079057614434,0.0233064875040381,0.0355793979735401,0.640692771337152,"global","total brain volume",0.454528373166874,"Yes","No","protein","Model 1 (n=709)"
"33","CCL21","global.wbv",-0.0516890389911381,0.0229276327769668,0.0244793307148155,0.641025861149876,"global","total brain volume",0.454528373166874,"Yes","No","protein","Model 1 (n=709)"
"34","MMP12","global.wbv",-0.0705723661291288,0.024245598177903,0.00372140531032896,0.642758116566211,"global","total brain volume",0.115363564620198,"Yes","No","protein","Model 1 (n=709)"
"35","PIGR","global.wbv",-0.0774727483919685,0.0228556554886708,0.000739407961794642,0.644286053536374,"global","total brain volume",0.0687649404469017,"Yes","No","protein","Model 1 (n=709)"
"36","STC1","global.wbv",-0.0689393015504981,0.0234722591225374,0.00342320315934268,0.642836388073564,"global","total brain volume",0.115363564620198,"Yes","No","protein","Model 1 (n=709)"
"37","TNFRSF1B","global.wbv",-0.0559055150331104,0.0231961110354557,0.0162061977940736,0.641398366416409,"global","total brain volume",0.376794098712212,"Yes","No","protein","Model 1 (n=709)"
"38","ADAMTS13","global_cortical_surface_area",0.0593105824124412,0.0252991535959483,0.0193402792691948,0.564188772153725,"cortical","global cortical surface area",0.392437707844471,"Yes","No","protein","Model 1 (n=709)"
"39","C4A.C4B","global_cortical_surface_area",-0.0710253633014353,0.0256136310361067,0.00570412817705454,0.565550937369758,"cortical","global cortical surface area",0.265241960233036,"Yes","No","protein","Model 1 (n=709)"
"40","CCL21","global_cortical_surface_area",-0.0566098039288985,0.0252569795478028,0.0253185617964175,0.563894245430401,"cortical","global cortical surface area",0.392437707844471,"Yes","No","protein","Model 1 (n=709)"
"41","GZMA","global_cortical_surface_area",0.0577795272782414,0.025514761653967,0.0238477926458951,0.563959454085561,"cortical","global cortical surface area",0.392437707844471,"Yes","No","protein","Model 1 (n=709)"
"42","MIA","global_cortical_surface_area",0.0504004982855105,0.0254538318173816,0.0480896644718098,0.563205041691375,"cortical","global cortical surface area",0.559042349484789,"Yes","No","protein","Model 1 (n=709)"
"43","MMP12","global_cortical_surface_area",-0.0677163575112392,0.0267470175762912,0.0115695254946291,0.564757241453932,"cortical","global cortical surface area",0.358655290333502,"Yes","No","protein","Model 1 (n=709)"
"44","PIGR","global_cortical_surface_area",-0.0789757456662679,0.0252065377524953,0.00180221705128914,0.566864092019607,"cortical","global cortical surface area",0.16760618576989,"Yes","No","protein","Model 1 (n=709)"
"45","STC1","global_cortical_surface_area",-0.0529900603836345,0.0259381676732137,0.0414358711628706,0.56336326044884,"cortical","global cortical surface area",0.550505145449566,"Yes","No","protein","Model 1 (n=709)"
"46","B2M","global_cortical_thickness",-0.0752180778644425,0.0326463783297461,0.0215157508362809,0.311902331495662,"cortical","global cortical thickness",0.285852118253446,"Yes","No","protein","Model 1 (n=709)"
"47","CD209","global_cortical_thickness",0.079909035239686,0.0317477111531518,0.0120600731632793,0.312911154146241,"cortical","global cortical thickness",0.224317360836995,"Yes","No","protein","Model 1 (n=709)"
"48","IDUA","global_cortical_thickness",-0.0689670933208752,0.0318129553557388,0.0305060140615949,0.311302798384016,"cortical","global cortical thickness",0.350322983074073,"Yes","No","protein","Model 1 (n=709)"
"49","IGFBP4","global_cortical_thickness",-0.0940865457033826,0.0327538435023324,0.00419623878527975,0.314785939722432,"cortical","global cortical thickness",0.0975625517577541,"Yes","No","protein","Model 1 (n=709)"
"50","MMP9","global_cortical_thickness",-0.0653262425004243,0.0325751605987883,0.0453080299380195,0.310633726723841,"cortical","global cortical thickness",0.350322983074073,"Yes","No","protein","Model 1 (n=709)"
"51","PRSS2","global_cortical_thickness",-0.114999909048125,0.0318504782468969,0.00032747047942394,0.319423356221271,"cortical","global cortical thickness",0.016396875572073,"Yes","Yes","protein","Model 1 (n=709)"
"52","RARRES2","global_cortical_thickness",-0.114051711121979,0.0325353061393607,0.000485103844264152,0.318702388643894,"cortical","global cortical thickness",0.016396875572073,"Yes","Yes","protein","Model 1 (n=709)"
