DNAm,metric,estimate,std.error,p.value,r2,modality,brain_metric,pFDR,significance,FDR_significance,omic_type,model
CRTAM,global.cerebral.wm,0.025035359,0.026934691,0.352962063,0.518910102,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
EZR,global.cerebral.wm,0.010362348,0.026987396,0.701118537,0.518412798,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
FcRL2,global.cerebral.wm,0.027225375,0.0266575,0.307467474,0.519034261,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
G.CSF,global.cerebral.wm,0.003797097,0.02709736,0.888599622,0.518323991,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
GDF.8,global.cerebral.wm,0.014707777,0.02741765,0.591830344,0.518510277,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
GZMA_olink,global.cerebral.wm,0.04731781,0.026566958,0.07533772,0.52050525,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
N.CDase,global.cerebral.wm,-0.039224629,0.026599821,0.140768867,0.519817067,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
NEP,global.cerebral.wm,-0.021016177,0.026845153,0.433972807,0.518735966,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
NMNAT1,global.cerebral.wm,-0.001478711,0.026579374,0.955649599,0.518312494,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
NTRK3_olink,global.cerebral.wm,0.015552429,0.027224389,0.568003042,0.518537073,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
SIGLEC1,global.cerebral.wm,-0.041764645,0.02674654,0.118863038,0.519999193,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
SKR3,global.cerebral.wm,-0.03443365,0.026830606,0.199790739,0.519452454,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
SMPD1,global.cerebral.wm,0.008190578,0.026361673,0.756121959,0.518377433,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CCL11,global.cerebral.wm,-0.014943252,0.026580182,0.574164788,0.518529932,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
CD6,global.cerebral.wm,0.023317487,0.026976496,0.387687569,0.518829093,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
CXCL10_olink,global.cerebral.wm,-0.006068931,0.027501478,0.825409302,0.518344189,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CXCL11_olink,global.cerebral.wm,-0.030458281,0.026591306,0.252429559,0.519220558,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
CXCL9,global.cerebral.wm,-0.02480449,0.027661096,0.370175269,0.518868623,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
EN.RAGE,global.cerebral.wm,-0.006638266,0.027044213,0.80617314,0.518352218,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
FGF.21,global.cerebral.wm,-0.036672268,0.026950365,0.174040244,0.519593918,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
HGF,global.cerebral.wm,-0.019189333,0.027000745,0.477511469,0.518661164,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
MMP.1_olink,global.cerebral.wm,0.012456255,0.027449523,0.650123722,0.518453433,global,global white matter,0.957614672,No,No,DNAm,Model 1 (n=709)
OSM,global.cerebral.wm,-0.002103394,0.026888025,0.937669332,0.518314596,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
TGF.alpha,global.cerebral.wm,0.000645025,0.027115424,0.981028461,0.518310736,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
VEGFA,global.cerebral.wm,-0.043782052,0.027067355,0.106220617,0.520122092,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
CCL21,global.cerebral.wm,-0.033953441,0.031177881,0.276522138,0.519133278,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
MMP9,global.cerebral.wm,-0.045281508,0.027100334,0.095196136,0.520243114,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
MPO,global.cerebral.wm,-0.00774978,0.026568486,0.770610426,0.518369475,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
NTRK3,global.cerebral.wm,0.034122361,0.027304022,0.211824012,0.519393475,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
TNFRSF17,global.cerebral.wm,0.052493727,0.027681612,0.058330848,0.520797014,global,global white matter,0.794757797,No,No,DNAm,Model 1 (n=709)
MIA,global.cerebral.wm,-0.026950471,0.026632889,0.311927352,0.519021047,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
CCL25,global.cerebral.wm,-0.003465947,0.026803193,0.897149109,0.518321965,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
IGFBP1,global.cerebral.wm,-0.027890686,0.035208874,0.428544685,0.518746111,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
LTF,global.cerebral.wm,-0.020649371,0.027100449,0.446345022,0.518713553,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
BCAM,global.cerebral.wm,0.035613437,0.026485969,0.179189444,0.519563768,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
EDA,global.cerebral.wm,0.009130947,0.027193037,0.737136496,0.5183887,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
C5,global.cerebral.wm,-0.024394074,0.02767174,0.378324836,0.518849907,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
GHR,global.cerebral.wm,0.010137749,0.027326165,0.710757954,0.51840599,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
IGFBP4,global.cerebral.wm,-0.05681355,0.02720321,0.037118331,0.521323159,global,global white matter,0.756246102,Yes,No,DNAm,Model 1 (n=709)
CLEC11A,global.cerebral.wm,0.020974475,0.028491418,0.461877485,0.518686742,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
VCAM1,global.cerebral.wm,0.038354927,0.032065427,0.232048747,0.519302788,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
LGALS4,global.cerebral.wm,-0.012785176,0.027970952,0.647751314,0.518455521,global,global white matter,0.957614672,No,No,DNAm,Model 1 (n=709)
CD209,global.cerebral.wm,-0.015067329,0.029250463,0.606637491,0.518494706,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
IL19,global.cerebral.wm,-0.009470589,0.027240353,0.728195367,0.518394344,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CXCL11,global.cerebral.wm,-0.001098947,0.027256682,0.967850856,0.518311473,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
MRC2,global.cerebral.wm,0.026536627,0.026874595,0.323779317,0.518987097,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
CCL18,global.cerebral.wm,-0.030888035,0.035316051,0.382085089,0.518841461,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
RETN,global.cerebral.wm,0.003767632,0.026990515,0.889023736,0.518323886,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
C9,global.cerebral.wm,-0.000234696,0.027112348,0.993095747,0.518310395,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
RARRES2,global.cerebral.wm,-0.028015245,0.028791952,0.330881137,0.518967528,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
TNFRSF1B,global.cerebral.wm,0.029744197,0.031851263,0.350708233,0.518915738,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
IDUA,global.cerebral.wm,0.001327801,0.026471645,0.960009832,0.518312092,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
ADAMTS13,global.cerebral.wm,0.021211904,0.027650544,0.443258134,0.518719055,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
F7,global.cerebral.wm,0.028229929,0.026921125,0.294720342,0.519073438,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
GNLY,global.cerebral.wm,0.044675551,0.02868885,0.119869002,0.519990038,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
PIGR,global.cerebral.wm,-0.056800146,0.026629547,0.033277558,0.521452035,global,global white matter,0.756246102,Yes,No,DNAm,Model 1 (n=709)
WFIKKN2,global.cerebral.wm,0.000591492,0.029580053,0.984052062,0.518310621,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
FCER2,global.cerebral.wm,0.013557141,0.02655879,0.609893335,0.518491389,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
CD48,global.cerebral.wm,0.00269383,0.027238841,0.921248926,0.518317141,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CD5L,global.cerebral.wm,-0.010688719,0.027756291,0.700287587,0.518413398,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CNTN4,global.cerebral.wm,0.038618177,0.027617378,0.162461654,0.519665623,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
FCGR3B,global.cerebral.wm,0.013742496,0.027623149,0.618994832,0.518482317,global,global white matter,0.950287841,No,No,DNAm,Model 1 (n=709)
SERPIND1,global.cerebral.wm,-0.057422341,0.028134281,0.041628226,0.521188546,global,global white matter,0.756246102,Yes,No,DNAm,Model 1 (n=709)
LY9,global.cerebral.wm,0.036409167,0.029714953,0.220885652,0.519351618,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
THBS2,global.cerebral.wm,-0.003352678,0.028277277,0.905654843,0.518320114,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
ACY1,global.cerebral.wm,0.009808885,0.03345548,0.769463044,0.518370085,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
BMP1,global.cerebral.wm,0.034081355,0.034368025,0.321710107,0.518992906,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
TPSB2,global.cerebral.wm,-0.01241647,0.026515717,0.639739979,0.518462708,global,global white matter,0.957614672,No,No,DNAm,Model 1 (n=709)
GZMA,global.cerebral.wm,0.018925917,0.027011558,0.483750418,0.518651332,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
INSR,global.cerebral.wm,0.006641565,0.027171004,0.806965695,0.518351869,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
SELE,global.cerebral.wm,-0.01983668,0.033750988,0.556900788,0.518550327,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
MPL,global.cerebral.wm,0.003057887,0.027347294,0.911001046,0.518319033,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
B2M,global.cerebral.wm,0.030243655,0.034183028,0.37659485,0.518853832,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
LTA.LTB,global.cerebral.wm,-0.074414377,0.038395087,0.053014116,0.520907204,global,global white matter,0.794757797,No,No,DNAm,Model 1 (n=709)
CCL22,global.cerebral.wm,-0.019166936,0.026718691,0.473393351,0.518667769,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
CCL17,global.cerebral.wm,-0.026979067,0.026509859,0.309176016,0.51902917,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
ADIPOQ,global.cerebral.wm,-0.012904653,0.055192811,0.815201233,0.518348338,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CHIT1,global.cerebral.wm,0.046785954,0.039539237,0.237104294,0.519281595,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
HGFAC,global.cerebral.wm,-0.028754436,0.02679834,0.283647666,0.51910927,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
ESM1,global.cerebral.wm,0.076587671,0.026725221,0.004286378,0.523951819,global,global white matter,0.467215204,Yes,No,DNAm,Model 1 (n=709)
CXCL10,global.cerebral.wm,0.008248041,0.028966863,0.775927964,0.518366691,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
PAPPA,global.cerebral.wm,-0.008834154,0.026599343,0.739899643,0.518387,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
SERPINA3,global.cerebral.wm,0.041792657,0.027403664,0.127696481,0.519921588,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
MMP2,global.cerebral.wm,-0.009024887,0.029473767,0.759543834,0.518375504,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CRP,global.cerebral.wm,-0.014541548,0.027999785,0.603686007,0.518497746,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
MST1,global.cerebral.wm,-0.035215977,0.026495734,0.184246202,0.519535117,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
ENPP7,global.cerebral.wm,-0.034186168,0.026493313,0.19735269,0.519464913,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
C4A.C4B,global.cerebral.wm,-0.016989595,0.026496951,0.521610858,0.518595938,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
MMP12,global.cerebral.wm,-0.034007123,0.039082531,0.384527285,0.518836038,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
NCAM1,global.cerebral.wm,0.042700777,0.027576199,0.121966929,0.519971217,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
CLEC11A.1,global.cerebral.wm,0.014922244,0.028462645,0.600255155,0.518501319,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
SLITRK5,global.cerebral.wm,-0.00574494,0.031287089,0.854365163,0.518333777,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
AFM,global.cerebral.wm,-0.002444267,0.026528633,0.926615856,0.518316243,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
SELL,global.cerebral.wm,0.00413115,0.031398021,0.895359783,0.518322375,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
LYZ,global.cerebral.wm,-0.004162408,0.027526662,0.879851153,0.518326236,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
MMP1,global.cerebral.wm,-0.0197612,0.027810712,0.477595547,0.51866103,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
SHBG,global.cerebral.wm,-0.004321583,0.040941672,0.915966262,0.518318087,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
STC1,global.cerebral.wm,0.030064392,0.054604727,0.582097533,0.518520957,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
GP1BA,global.cerebral.wm,0.015905723,0.02686461,0.553997006,0.518553877,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
LGALS3BP,global.cerebral.wm,-0.003217879,0.02699587,0.905152293,0.518320218,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
CD163,global.cerebral.wm,-0.014677457,0.027231368,0.590066291,0.518512186,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
FAP,global.cerebral.wm,-0.016673706,0.027205679,0.540159441,0.518571285,global,global white matter,0.94969105,No,No,DNAm,Model 1 (n=709)
PRSS2,global.cerebral.wm,-0.026165599,0.027643545,0.344205404,0.51893228,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
NOTCH1,global.cerebral.wm,0.02893681,0.028597365,0.311953465,0.51902097,global,global white matter,0.899105214,No,No,DNAm,Model 1 (n=709)
ICAM5,global.cerebral.wm,-0.059151021,0.026896215,0.028191013,0.521648876,global,global white matter,0.756246102,Yes,No,DNAm,Model 1 (n=709)
S100A9,global.cerebral.wm,-0.000735622,0.027480383,0.978651683,0.518310841,global,global white matter,0.993095747,No,No,DNAm,Model 1 (n=709)
OMD,global.cerebral.wm,0.021945642,0.029875183,0.46284523,0.518685118,global,global white matter,0.925066588,No,No,DNAm,Model 1 (n=709)
SEMA3E,global.cerebral.wm,0.060947147,0.026656659,0.022533109,0.521916675,global,global white matter,0.756246102,Yes,No,DNAm,Model 1 (n=709)
SPOCK2,global.cerebral.wm,0.042150378,0.026690741,0.114743414,0.520037595,global,global white matter,0.869932275,No,No,DNAm,Model 1 (n=709)
CRTAM,global.total.gm,0.03342866,0.021835917,0.126249179,0.681893929,global,global grey matter,0.305803566,No,No,DNAm,Model 1 (n=709)
EZR,global.total.gm,0.032134293,0.0218713,0.142219553,0.681809403,global,global grey matter,0.316365945,No,No,DNAm,Model 1 (n=709)
FcRL2,global.total.gm,0.005683104,0.021650547,0.79301974,0.68085136,global,global grey matter,0.849554008,No,No,DNAm,Model 1 (n=709)
G.CSF,global.total.gm,-0.042316486,0.021933302,0.054097799,0.682522478,global,global grey matter,0.168476002,No,No,DNAm,Model 1 (n=709)
GDF.8,global.total.gm,0.070842047,0.021993196,0.00133665,0.685521185,global,global grey matter,0.009712991,Yes,Yes,DNAm,Model 1 (n=709)
GZMA_olink,global.total.gm,0.048682727,0.021529619,0.024055787,0.683154023,global,global grey matter,0.093645744,Yes,No,DNAm,Model 1 (n=709)
N.CDase,global.total.gm,0.01679149,0.021609383,0.437396253,0.681097129,global,global grey matter,0.635682555,No,No,DNAm,Model 1 (n=709)
NEP,global.total.gm,-0.042626561,0.021718891,0.050086055,0.68258148,global,global grey matter,0.164258504,No,No,DNAm,Model 1 (n=709)
NMNAT1,global.total.gm,0.020056676,0.021558451,0.352518896,0.681217248,global,global grey matter,0.574370096,No,No,DNAm,Model 1 (n=709)
