DNAm,metric,estimate,std.error,p.value,r2,modality,brain_metric,pFDR,significance,FDR_significance,omic_type,model
CRTAM,global.cerebral.wm,0.027353814,0.028306436,0.334246587,0.534951173,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
EZR,global.cerebral.wm,0.01170355,0.027985357,0.675943309,0.534383905,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
FcRL2,global.cerebral.wm,0.02661447,0.027220346,0.328582173,0.534967712,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
G.CSF,global.cerebral.wm,-0.004287733,0.028577809,0.880783946,0.534269839,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
GDF.8,global.cerebral.wm,-0.012497093,0.02922825,0.669112952,0.534389833,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
GZMA_olink,global.cerebral.wm,0.040267839,0.028234632,0.154316341,0.535771062,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
N.CDase,global.cerebral.wm,-0.047438814,0.027697981,0.08726291,0.536439172,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
NEP,global.cerebral.wm,-0.024714689,0.027895494,0.375973805,0.534840005,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
NMNAT1,global.cerebral.wm,0.023180563,0.027741552,0.403706454,0.53477521,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
NTRK3_olink,global.cerebral.wm,0.002849754,0.029387663,0.922780574,0.534260024,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
SIGLEC1,global.cerebral.wm,-0.041067684,0.027751796,0.139427377,0.535886981,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SKR3,global.cerebral.wm,-0.030819222,0.031837234,0.333408383,0.534953597,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SMPD1,global.cerebral.wm,0.000648365,0.027958512,0.981505954,0.534253386,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
